"%Rottgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;
% Data of the temperature correction coefficient for the light absorption coefficent of water, PsiT;;;
"% s.d., standard deviation; n.d., not determined";;;
%remarks: Data of Fig. 5 combined with data of Reference[19];;;
wavelength (nm);wavenumber (1/cm);PsiT (1/m*1/K);s.d. (1/m*1/K)
wavelength;wavenumber;PsiT;PsiT_std
300;33333.33;1.19E-04;4.66E-04
302;33112.58;1.83E-04;4.21E-04
304;32894.74;1.82E-04;4.21E-04
306;32679.74;1.02E-04;3.24E-04
308;32467.53;1.33E-04;2.78E-04
310;32258.06;1.32E-04;3.15E-04
312;32051.28;6.78E-05;3.42E-04
314;31847.13;9.92E-05;2.45E-04
316;31645.57;1.87E-05;1.85E-04
318;31446.54;2.19E-06;1.38E-04
320;31250;1.46E-04;2.08E-04
322;31055.9;6.52E-05;7.47E-05
324;30864.2;8.13E-07;2.39E-04
326;30674.85;-3.16E-05;1.49E-04
328;30487.8;3.20E-05;1.83E-04
330;30303.03;4.76E-05;1.28E-04
332;30120.48;3.12E-05;1.25E-04
334;29940.12;3.09E-05;1.42E-04
336;29761.9;-3.34E-05;1.83E-04
338;29585.8;3.03E-05;1.70E-04
340;29411.76;4.60E-05;1.52E-04
342;29239.77;-2.30E-06;1.20E-04
344;29069.77;-2.56E-06;1.74E-04
346;28901.73;-1.88E-05;9.88E-05
348;28735.63;-1.90E-05;1.28E-04
350;28571.43;-6.72E-05;1.53E-04
352;28409.09;-3.55E-05;1.06E-04
354;28248.59;-5.17E-05;8.68E-05
356;28089.89;-3.58E-05;1.83E-04
358;27932.96;-2.00E-05;1.52E-04
360;27777.78;-3.62E-05;1.34E-04
362;27624.31;-6.83E-05;1.74E-04
364;27472.53;-6.85E-05;1.74E-04
366;27322.4;-4.62E-06;7.47E-05
368;27173.91;1.12E-05;1.19E-04
370;27027.03;-6.88E-05;5.79E-05
372;26881.72;2.70E-05;8.18E-05
374;26737.97;-6.90E-05;1.11E-04
376;26595.74;-3.71E-05;1.25E-04
378;26455.03;-8.52E-05;8.68E-05
380;26315.79;-2.13E-05;1.59E-04
382;26178.01;-2.14E-05;1.79E-04
384;26041.67;-5.43E-06;1.20E-04
386;25906.74;-3.75E-05;1.70E-04
388;25773.2;-3.75E-05;8.18E-05
390;25641.03;-5.56E-06;1.38E-04
392;25510.2;1.04E-05;1.52E-04
394;25380.71;-5.61E-06;1.53E-04
396;25252.53;-3.76E-05;1.06E-04
398;25125.63;4.23E-05;1.59E-04
400;25000;1.44E-05;4.37E-05
402;24875.62;1.98E-05;4.40E-05
404;24752.48;1.76E-05;4.22E-05
406;24630.54;8.98E-06;3.89E-05
408;24509.8;-5.73E-06;4.52E-05
410;24390.24;-6.82E-06;4.68E-05
412;24271.84;4.31E-06;3.99E-05
414;24154.59;1.69E-05;3.36E-05
416;24038.46;1.77E-05;3.31E-05
418;23923.44;7.24E-06;3.62E-05
420;23809.52;-2.97E-08;3.86E-05
422;23696.68;-3.68E-06;3.97E-05
424;23584.91;-4.07E-06;3.97E-05
426;23474.18;-1.03E-05;3.95E-05
428;23364.49;-1.34E-05;3.52E-05
430;23255.81;-1.15E-05;3.22E-05
432;23148.15;-5.43E-06;3.10E-05
434;23041.47;2.28E-07;3.30E-05
436;22935.78;2.24E-06;3.43E-05
438;22831.05;3.61E-06;3.47E-05
440;22727.27;2.96E-06;3.18E-05
442;22624.43;5.25E-06;2.96E-05
444;22522.52;5.44E-06;3.22E-05
446;22421.52;6.79E-06;3.54E-05
448;22321.43;1.09E-05;3.65E-05
450;22222.22;1.77E-05;3.37E-05
452;22123.89;2.03E-05;3.11E-05
454;22026.43;1.60E-05;3.32E-05
456;21929.82;9.23E-06;3.49E-05
458;21834.06;6.86E-06;3.29E-05
460;21739.13;6.84E-06;2.86E-05
462;21645.02;7.32E-06;2.69E-05
464;21551.72;4.94E-06;2.88E-05
466;21459.23;-3.08E-07;3.10E-05
468;21367.52;-4.21E-06;3.15E-05
470;21276.6;-6.13E-06;3.13E-05
472;21186.44;-6.46E-06;3.11E-05
474;21097.05;-6.32E-06;3.04E-05
476;21008.4;-5.07E-06;2.96E-05
478;20920.5;-2.21E-06;2.84E-05
480;20833.33;-3.14E-06;2.84E-05
482;20746.89;-5.31E-06;2.92E-05
484;20661.16;-8.63E-06;3.07E-05
486;20576.13;-1.01E-05;3.06E-05
488;20491.8;-1.04E-05;2.83E-05
490;20408.16;-9.31E-06;2.58E-05
492;20325.2;-7.72E-06;2.50E-05
494;20242.91;-4.88E-06;2.64E-05
496;20161.29;1.11E-06;2.70E-05
498;20080.32;6.85E-06;2.70E-05
500;20000;1.22E-05;2.79E-05
502;19920.32;1.79E-05;2.91E-05
504;19841.27;2.57E-05;2.89E-05
506;19762.85;3.66E-05;2.91E-05
508;19685.04;5.39E-05;3.08E-05
