 rho = L(surface reflected)/L(sky) (non-dimen) as in
 Mobley, 1999, Appl Opt 38, page 7445, Eq. 4
   [(Theta,Phi) are the directions of photon travel.
   Theta is measured from 0 at the zenith.
   Solar photons travel in the Phi = 180 direction (the sun is located at Phi = 0).
   (Thus Phi = 45 represents the 135 degree viewing angle for minimizing sun glitter.)]
   These values are for 550 nm (see RhoNotes.pdf for discussion)
wind,sza,vza,azi,rho
0.0,0.0,0.0,0.0,0.0211
0.0,0.0,10.0,180.0,0.0211
0.0,0.0,10.0,165.0,0.0211
0.0,0.0,10.0,150.0,0.0211
0.0,0.0,10.0,135.0,0.0211
0.0,0.0,10.0,120.0,0.0211
0.0,0.0,10.0,105.0,0.0211
0.0,0.0,10.0,90.0,0.0211
0.0,0.0,10.0,75.0,0.0211
0.0,0.0,10.0,60.0,0.0211
0.0,0.0,10.0,45.0,0.0211
0.0,0.0,10.0,30.0,0.0211
0.0,0.0,10.0,15.0,0.0211
0.0,0.0,10.0,0.0,0.0211
0.0,0.0,20.0,180.0,0.0213
0.0,0.0,20.0,165.0,0.0213
0.0,0.0,20.0,150.0,0.0213
0.0,0.0,20.0,135.0,0.0213
0.0,0.0,20.0,120.0,0.0213
0.0,0.0,20.0,105.0,0.0213
0.0,0.0,20.0,90.0,0.0213
0.0,0.0,20.0,75.0,0.0213
0.0,0.0,20.0,60.0,0.0213
0.0,0.0,20.0,45.0,0.0213
0.0,0.0,20.0,30.0,0.0213
0.0,0.0,20.0,15.0,0.0213
0.0,0.0,20.0,0.0,0.0213
0.0,0.0,30.0,180.0,0.0223
0.0,0.0,30.0,165.0,0.0223
0.0,0.0,30.0,150.0,0.0223
0.0,0.0,30.0,135.0,0.0223
0.0,0.0,30.0,120.0,0.0223
0.0,0.0,30.0,105.0,0.0223
0.0,0.0,30.0,90.0,0.0223
0.0,0.0,30.0,75.0,0.0223
0.0,0.0,30.0,60.0,0.0223
0.0,0.0,30.0,45.0,0.0223
0.0,0.0,30.0,30.0,0.0223
0.0,0.0,30.0,15.0,0.0223
0.0,0.0,30.0,0.0,0.0223
0.0,0.0,40.0,180.0,0.0256
0.0,0.0,40.0,165.0,0.0256
0.0,0.0,40.0,150.0,0.0256
0.0,0.0,40.0,135.0,0.0256
0.0,0.0,40.0,120.0,0.0257
0.0,0.0,40.0,105.0,0.0257
0.0,0.0,40.0,90.0,0.0256
0.0,0.0,40.0,75.0,0.0257
0.0,0.0,40.0,60.0,0.0257
0.0,0.0,40.0,45.0,0.0256
0.0,0.0,40.0,30.0,0.0256
0.0,0.0,40.0,15.0,0.0256
0.0,0.0,40.0,0.0,0.0256
0.0,0.0,50.0,180.0,0.0355
0.0,0.0,50.0,165.0,0.0354
0.0,0.0,50.0,150.0,0.0357
0.0,0.0,50.0,135.0,0.0356
0.0,0.0,50.0,120.0,0.0355
0.0,0.0,50.0,105.0,0.0355
0.0,0.0,50.0,90.0,0.0355
0.0,0.0,50.0,75.0,0.0355
0.0,0.0,50.0,60.0,0.0355
0.0,0.0,50.0,45.0,0.0356
0.0,0.0,50.0,30.0,0.0357
0.0,0.0,50.0,15.0,0.0354
0.0,0.0,50.0,0.0,0.0355
0.0,0.0,60.0,180.0,0.0637
0.0,0.0,60.0,165.0,0.0633
0.0,0.0,60.0,150.0,0.0631
0.0,0.0,60.0,135.0,0.0630
0.0,0.0,60.0,120.0,0.0633
0.0,0.0,60.0,105.0,0.0633
0.0,0.0,60.0,90.0,0.0636
0.0,0.0,60.0,75.0,0.0633
0.0,0.0,60.0,60.0,0.0633
0.0,0.0,60.0,45.0,0.0630
0.0,0.0,60.0,30.0,0.0631
0.0,0.0,60.0,15.0,0.0633
0.0,0.0,60.0,0.0,0.0637
0.0,0.0,70.0,180.0,0.1425
0.0,0.0,70.0,165.0,0.1425
0.0,0.0,70.0,150.0,0.1410
0.0,0.0,70.0,135.0,0.1405
0.0,0.0,70.0,120.0,0.1404
0.0,0.0,70.0,105.0,0.1421
0.0,0.0,70.0,90.0,0.1408
0.0,0.0,70.0,75.0,0.1421
0.0,0.0,70.0,60.0,0.1404
0.0,0.0,70.0,45.0,0.1405
0.0,0.0,70.0,30.0,0.1410
0.0,0.0,70.0,15.0,0.1425
0.0,0.0,70.0,0.0,0.1425
0.0,0.0,80.0,180.0,0.3680
0.0,0.0,80.0,165.0,0.3677
0.0,0.0,80.0,150.0,0.3646
0.0,0.0,80.0,135.0,0.3686
0.0,0.0,80.0,120.0,0.3617
0.0,0.0,80.0,105.0,0.3656
0.0,0.0,80.0,90.0,0.3727
0.0,0.0,80.0,75.0,0.3656
0.0,0.0,80.0,60.0,0.3617
0.0,0.0,80.0,45.0,0.3686
0.0,0.0,80.0,30.0,0.3646
0.0,0.0,80.0,15.0,0.3677
0.0,0.0,80.0,0.0,0.3680
0.0,0.0,87.5,180.0,0.7714
0.0,0.0,87.5,165.0,0.7771
0.0,0.0,87.5,150.0,0.7745
0.0,0.0,87.5,135.0,0.7663
0.0,0.0,87.5,120.0,0.7766
0.0,0.0,87.5,105.0,0.7729
0.0,0.0,87.5,90.0,0.7732
0.0,0.0,87.5,75.0,0.7729
0.0,0.0,87.5,60.0,0.7766
0.0,0.0,87.5,45.0,0.7664
0.0,0.0,87.5,30.0,0.7745
0.0,0.0,87.5,15.0,0.7771
0.0,0.0,87.5,0.0,0.7714
0.0,10.0,0.0,0.0,0.0211
0.0,10.0,10.0,180.0,0.0211
0.0,10.0,10.0,165.0,0.0211
0.0,10.0,10.0,150.0,0.0211
0.0,10.0,10.0,135.0,0.0211
0.0,10.0,10.0,120.0,0.0211
0.0,10.0,10.0,105.0,0.0211
0.0,10.0,10.0,90.0,0.0211
0.0,10.0,10.0,75.0,0.0211
0.0,10.0,10.0,60.0,0.0211
0.0,10.0,10.0,45.0,0.0211
0.0,10.0,10.0,30.0,0.0211
0.0,10.0,10.0,15.0,0.0211
0.0,10.0,10.0,0.0,0.0211
0.0,10.0,20.0,180.0,0.0213
0.0,10.0,20.0,165.0,0.0213
0.0,10.0,20.0,150.0,0.0213
0.0,10.0,20.0,135.0,0.0213
0.0,10.0,20.0,120.0,0.0213
0.0,10.0,20.0,105.0,0.0213
0.0,10.0,20.0,90.0,0.0213
0.0,10.0,20.0,75.0,0.0213
0.0,10.0,20.0,60.0,0.0213
0.0,10.0,20.0,45.0,0.0213
0.0,10.0,20.0,30.0,0.0213
0.0,10.0,20.0,15.0,0.0213
0.0,10.0,20.0,0.0,0.0213
0.0,10.0,30.0,180.0,0.0223
0.0,10.0,30.0,165.0,0.0223
0.0,10.0,30.0,150.0,0.0223
0.0,10.0,30.0,135.0,0.0223
0.0,10.0,30.0,120.0,0.0223
0.0,10.0,30.0,105.0,0.0223
0.0,10.0,30.0,90.0,0.0223
0.0,10.0,30.0,75.0,0.0223
0.0,10.0,30.0,60.0,0.0223
0.0,10.0,30.0,45.0,0.0223
0.0,10.0,30.0,30.0,0.0223
0.0,10.0,30.0,15.0,0.0223
0.0,10.0,30.0,0.0,0.0223
0.0,10.0,40.0,180.0,0.0256
0.0,10.0,40.0,165.0,0.0256
0.0,10.0,40.0,150.0,0.0256
0.0,10.0,40.0,135.0,0.0256
0.0,10.0,40.0,120.0,0.0257
0.0,10.0,40.0,105.0,0.0257
0.0,10.0,40.0,90.0,0.0256
0.0,10.0,40.0,75.0,0.0257
0.0,10.0,40.0,60.0,0.0257
0.0,10.0,40.0,45.0,0.0256
0.0,10.0,40.0,30.0,0.0256
0.0,10.0,40.0,15.0,0.0256
0.0,10.0,40.0,0.0,0.0256
0.0,10.0,50.0,180.0,0.0355
0.0,10.0,50.0,165.0,0.0354
0.0,10.0,50.0,150.0,0.0357
0.0,10.0,50.0,135.0,0.0356
0.0,10.0,50.0,120.0,0.0355
0.0,10.0,50.0,105.0,0.0355
0.0,10.0,50.0,90.0,0.0355
0.0,10.0,50.0,75.0,0.0355
0.0,10.0,50.0,60.0,0.0355
0.0,10.0,50.0,45.0,0.0356
0.0,10.0,50.0,30.0,0.0357
0.0,10.0,50.0,15.0,0.0354
0.0,10.0,50.0,0.0,0.0355
0.0,10.0,60.0,180.0,0.0637
0.0,10.0,60.0,165.0,0.0633
0.0,10.0,60.0,150.0,0.0631
0.0,10.0,60.0,135.0,0.0630
0.0,10.0,60.0,120.0,0.0633
0.0,10.0,60.0,105.0,0.0633
0.0,10.0,60.0,90.0,0.0636
0.0,10.0,60.0,75.0,0.0633
0.0,10.0,60.0,60.0,0.0633
0.0,10.0,60.0,45.0,0.0630
0.0,10.0,60.0,30.0,0.0631
0.0,10.0,60.0,15.0,0.0633
0.0,10.0,60.0,0.0,0.0637
0.0,10.0,70.0,180.0,0.1425
0.0,10.0,70.0,165.0,0.1425
0.0,10.0,70.0,150.0,0.1410
0.0,10.0,70.0,135.0,0.1405
0.0,10.0,70.0,120.0,0.1404
0.0,10.0,70.0,105.0,0.1421
0.0,10.0,70.0,90.0,0.1408
0.0,10.0,70.0,75.0,0.1421
0.0,10.0,70.0,60.0,0.1404
0.0,10.0,70.0,45.0,0.1405
0.0,10.0,70.0,30.0,0.1410
0.0,10.0,70.0,15.0,0.1425
0.0,10.0,70.0,0.0,0.1425
0.0,10.0,80.0,180.0,0.3680
0.0,10.0,80.0,165.0,0.3677
0.0,10.0,80.0,150.0,0.3646
0.0,10.0,80.0,135.0,0.3686
0.0,10.0,80.0,120.0,0.3617
0.0,10.0,80.0,105.0,0.3656
0.0,10.0,80.0,90.0,0.3727
0.0,10.0,80.0,75.0,0.3656
0.0,10.0,80.0,60.0,0.3617
0.0,10.0,80.0,45.0,0.3686
0.0,10.0,80.0,30.0,0.3646
0.0,10.0,80.0,15.0,0.3677
