wl1 A1	B1 r1 wl2 A2 B2 r2
400 0.0263 0.282 0.702 402 0.0271 0.281 0.702
404 0.0280 0.282 0.706 406 0.0290 0.281 0.707
408 0.0301 0.282 0.710 410 0.0313 0.283 0.713
412 0.0323 0.286 0.718 414 0.0333 0.291 0.723
416 0.0342 0.293 0.725 418 0.0349 0.296 0.729
420 0.0356 0.299 0.733 422 0.0359 0.306 0.739
424 0.0362 0.313 0.746 426 0.0369 0.316 0.747
428 0.0376 0.317 0.749 430 0.0386 0.314 0.746
432 0.0391 0.318 0.750 434 0.0395 0.324 0.754
436 0.0399 0.328 0.757 438 0.0401 0.332 0.761
440 0.0403 0.332 0.762 442 0.0398 0.339 0.767
444 0.0390 0.348 0.774 446 0.0383 0.355 0.779
448 0.0375 0.360 0.783 450 0.0371 0.359 0.781
452 0.0365 0.362 0.783 454 0.0358 0.366 0.788
456 0.0354 0.367 0.789 458 0.0351 0.368 0.791
460 0.0350 0.365 0.789 462 0.0347 0.366 0.791
464 0.0343 0.368 0.792 466 0.0339 0.369 0.793
468 0.0335 0.369 0.793 470 0.0332 0.368 0.792
472 0.0325 0.371 0.792 474 0.0318 0.375 0.793
476 0.0312 0.378 0.793 478 0.0306 0.379 0.793
480 0.0301 0.377 0.791 482 0.0296 0.377 0.790
484 0.0290 0.376 0.788 486 0.0285 0.373 0.786
488 0.0279 0.369 0.783 490 0.0274 0.361 0.779
492 0.0267 0.356 0.774 494 0.0258 0.349 0.770
496 0.0249 0.341 0.763 498 0.0240 0.332 0.756
500 0.0230 0.321 0.747 502 0.0220 0.311 0.735
504 0.0209 0.300 0.722 506 0.0199 0.288 0.706
508 0.0189 0.275 0.686 510 0.0180 0.260 0.664
512 0.0171 0.249 0.641 514 0.0163 0.237 0.615
516 0.0156 0.224 0.578 518 0.0149 0.211 0.541
520 0.0143 0.196 0.498 522 0.0137 0.184 0.459
524 0.0131 0.173 0.417 526 0.0126 0.162 0.374
528 0.0121 0.151 0.332 530 0.0117 0.139 0.287
532 0.0113 0.129 0.248 534 0.0108 0.119 0.211
536 0.0104 0.109 0.176 538 0.0100 0.100 0.147
540 0.0097 0.090 0.116 542 0.0093 0.081 0.092
544 0.0090 0.073 0.074 546 0.0086 0.066 0.057
548 0.0083 0.059 0.044 550 0.0080 0.052 0.033
552 0.0076 0.044 0.023 554 0.0072 0.036 0.014
556 0.0068 0.027 0.007 558 0.0065 0.016 0.002
560 0.0062 0.016 0.002 562 0.0059 0.013 0.001
564 0.0057 0.010 0.001 566 0.0055 0.007 0.000
568 0.0054 0.007 0.000 570 0.0053 0.005 0.000
572 0.0053 0.011 0.001 574 0.0052 0.018 0.003
576 0.0052 0.022 0.004 578 0.0052 0.028 0.007
580 0.0053 0.035 0.013 582 0.0054 0.040 0.016
584 0.0055 0.050 0.028 586 0.0055 0.056 0.033
588 0.0056 0.065 0.043 590 0.0056 0.073 0.058
592 0.0057 0.081 0.072 594 0.0056 0.088 0.084
596 0.0056 0.093 0.097 598 0.0055 0.095 0.098
600 0.0054 0.092 0.086 602 0.0054 0.088 0.078
604 0.0055 0.086 0.083 606 0.0055 0.082 0.078
608 0.0056 0.076 0.067 610 0.0057 0.071 0.060
612 0.0059 0.069 0.063 614 0.0060 0.066 0.062
616 0.0062 0.063 0.056 618 0.0063 0.064 0.061
620 0.0065 0.064 0.063 622 0.0066 0.068 0.073
624 0.0067 0.071 0.083 626 0.0068 0.074 0.092
628 0.0069 0.076 0.099 630 0.0071 0.078 0.104
632 0.0073 0.080 0.109 634 0.0074 0.084 0.119
636 0.0075 0.088 0.128 638 0.0076 0.093 0.138
640 0.0077 0.098 0.149 642 0.0078 0.105 0.164
644 0.0079 0.113 0.177 646 0.0080 0.119 0.189
648 0.0081 0.123 0.195 650 0.0083 0.124 0.197
652 0.0085 0.125 0.200 654 0.0089 0.124 0.203
656 0.0095 0.122 0.206 658 0.0104 0.120 0.218
660 0.0115 0.121 0.235 662 0.0129 0.125 0.269
664 0.0144 0.131 0.308 666 0.0161 0.137 0.345
668 0.0176 0.143 0.377 670 0.0189 0.149 0.404
672 0.0197 0.153 0.424 674 0.0201 0.157 0.439
675 0.0201 0.158 0.445 676 0.0200 0.159 0.445
678 0.0193 0.158 0.444 680 0.0182 0.155 0.433
682 0.0166 0.148 0.406 684 0.0145 0.138 0.368
686 0.0124 0.124 0.315 688 0.0102 0.107 0.247
690 0.0083 0.086 0.164 692 0.0067 0.065 0.094
694 0.0054 0.042 0.036 696 0.0044 0.015 0.004
698 0.0036 -0.016 0.003 700 0.0030 -0.034 0.012
