wl	aw	bbw	aphy	adg	bbp
400	0.00663	0.0038	0.197185683	0.389933423	0.122518379
402	0.006249355	0.003722581	0.203352256	0.378409149	0.122206835
404	0.005870588	0.003645588	0.209519152	0.367225469	0.121897624
406	0.005494118	0.003569118	0.215686443	0.356372316	0.121590717
408	0.005113636	0.003490909	0.2218533	0.345839922	0.121286084
410	0.004764118	0.003413529	0.22796501	0.335618808	0.120983699
412	0.004705294	0.003348824	0.233581704	0.325699773	0.120683534
414	0.004655455	0.003283333	0.239184818	0.31607389	0.120385562
416	0.004619091	0.003216667	0.244767564	0.306732495	0.120089756
418	0.004579118	0.003147059	0.25035016	0.297667179	0.11979609
420	0.004543939	0.00307697	0.255958628	0.288869785	0.119504539
422	0.004622727	0.003016364	0.262059596	0.280332392	0.119215078
424	0.004702941	0.002956471	0.268165765	0.272047318	0.118927682
426	0.004785294	0.002897647	0.274279735	0.264007105	0.118642325
428	0.004869394	0.002837576	0.280396762	0.256204516	0.118358986
430	0.004963529	0.002777353	0.286339287	0.248632528	0.118077639
432	0.005234118	0.002724412	0.288941359	0.241284326	0.117798262
434	0.005507576	0.00267303	0.291507078	0.234153297	0.117520832
436	0.005786364	0.002624545	0.294005286	0.227233021	0.117245326
438	0.006067647	0.002572941	0.296502793	0.22051727	0.116971723
440	0.00635	0.00252	0.299	0.214	0.1167
442	0.006925758	0.002471515	0.296375586	0.207675344	0.116430136
444	0.007499706	0.002423529	0.293751696	0.20153761	0.116162111
446	0.008070294	0.002376471	0.291128777	0.195581274	0.115895903
448	0.008637059	0.002329412	0.288511575	0.189800973	0.115631492
450	0.009201765	0.002282353	0.28589745	0.184191507	0.115368859
452	0.009333636	0.002239697	0.283596985	0.178747825	0.115107982
454	0.009445294	0.002197647	0.281313639	0.173465029	0.114848843
456	0.009562941	0.002156471	0.279031718	0.168338362	0.114591423
458	0.009679091	0.002118182	0.276715732	0.163363212	0.114335703
460	0.009794242	0.002081818	0.274377036	0.158535099	0.114081663
