"nom du projet";"nom du site";"nom de la plateforme";"date prélèvement";"profondeur min réelle observée (m)";"profondeur max réelle observée (m)";"chlorophylle a strickland-parsons (µg/l)";"chlorophylle a scor-unesco (µg/l)"
"Suivi des lacs";"Léman";"SHL2";01/20/03;0;0;;"1.27"
"Suivi des lacs";"Léman";"SHL2";01/20/03;1;1;;"1.32"
"Suivi des lacs";"Léman";"SHL2";01/20/03;2;2;;"1.33"
"Suivi des lacs";"Léman";"SHL2";01/20/03;"3.5";"3.5";;"1.37"
"Suivi des lacs";"Léman";"SHL2";01/20/03;5;5;;"1.32"
"Suivi des lacs";"Léman";"SHL2";01/20/03;"7.5";"7.5";;"1.38"
"Suivi des lacs";"Léman";"SHL2";01/20/03;10;10;;"1.33"
"Suivi des lacs";"Léman";"SHL2";01/20/03;15;15;;"1.26"
"Suivi des lacs";"Léman";"SHL2";01/20/03;20;20;;"1.26"
"Suivi des lacs";"Léman";"SHL2";01/20/03;30;30;;"1.27"
"Suivi des lacs";"Léman";"SHL2";02/20/03;0;0;;"0.85"
"Suivi des lacs";"Léman";"SHL2";02/20/03;1;1;;"0.85"
"Suivi des lacs";"Léman";"SHL2";02/20/03;2;2;;"0.9"
"Suivi des lacs";"Léman";"SHL2";02/20/03;"3.5";"3.5";;"0.94"
"Suivi des lacs";"Léman";"SHL2";02/20/03;5;5;;"0.8"
"Suivi des lacs";"Léman";"SHL2";02/20/03;"7.5";"7.5";;"0.89"
"Suivi des lacs";"Léman";"SHL2";02/20/03;10;10;;"0.89"
"Suivi des lacs";"Léman";"SHL2";02/20/03;15;15;;"0.86"
"Suivi des lacs";"Léman";"SHL2";02/20/03;20;20;;"0.89"
"Suivi des lacs";"Léman";"SHL2";02/20/03;30;30;;"0.99"
"Suivi des lacs";"Léman";"SHL2";03/10/03;0;0;;"5.85"
"Suivi des lacs";"Léman";"SHL2";03/10/03;1;1;;"5.61"
"Suivi des lacs";"Léman";"SHL2";03/10/03;2;2;;"5.94"
"Suivi des lacs";"Léman";"SHL2";03/10/03;"3.5";"3.5";;"5.87"
"Suivi des lacs";"Léman";"SHL2";03/10/03;5;5;;"5.27"
"Suivi des lacs";"Léman";"SHL2";03/10/03;"7.5";"7.5";;"5.28"
"Suivi des lacs";"Léman";"SHL2";03/10/03;10;10;;"3.92"
"Suivi des lacs";"Léman";"SHL2";03/10/03;15;15;;"3.01"
"Suivi des lacs";"Léman";"SHL2";03/10/03;20;20;;"2.41"
"Suivi des lacs";"Léman";"SHL2";03/10/03;30;30;;"1.37"
"Suivi des lacs";"Léman";"SHL2";03/24/03;0;0;;"14.01"
