Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Arizona
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	2.7328
443	2.7891
515	2.8639
658	2.9604
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1	       Inf	       Inf	       Inf	       Inf
  2	       Inf	       Inf	30.3029709	14.1586534
  3	16.8173868	15.1392492	 8.5560442	 7.0118509
  4	 7.6726951	 7.6214277	 5.7684474	 5.7556634
  5	 4.7788202	 4.7937181	 4.0779633	 4.5628937
  6	 3.4612785	 3.4143597	 3.0181043	 3.5695572
  7	 2.6957750	 2.6046084	 2.3472277	 2.7981444
  8	 2.1672188	 2.0848148	 1.8681291	 2.1956504
  9	 1.7963294	 1.7298338	 1.5425354	 1.7473242
 10	 1.5093926	 1.4629350	 1.2940151	 1.4124032
 11	 1.2802428	 1.2444172	 1.0940681	 1.1621096
 12	 1.0952589	 1.0584354	 0.9291503	 0.9728636
 13	 0.9428802	 0.9099763	 0.8015783	 0.8227593
 14	 0.8141642	 0.7825102	 0.6907563	 0.7002050
 15	 0.6999104	 0.6759947	 0.5967152	 0.6000956
 16	 0.6155718	 0.5850789	 0.5178740	 0.5173748
 17	 0.5367424	 0.5094327	 0.4507006	 0.4472564
 18	 0.4622204	 0.4446186	 0.3915708	 0.3890576
 19	 0.4085060	 0.3905764	 0.3414035	 0.3396537
 20	 0.3593077	 0.3432265	 0.3028252	 0.2977949
 21	 0.3172691	 0.3015331	 0.2643840	 0.2625520
 22	 0.2840176	 0.2673316	 0.2385943	 0.2318350
 23	 0.2523702	 0.2371308	 0.2121359	 0.2054087
 24	 0.2247892	 0.2117724	 0.1895515	 0.1823986
 25	 0.2007286	 0.1888603	 0.1695409	 0.1624911
 26	 0.1798738	 0.1696742	 0.1519707	 0.1395955
 27	 0.1618750	 0.1516026	 0.1368527	 0.1307912
 28	 0.1458121	 0.1355858	 0.1235159	 0.1167379
 29	 0.1318378	 0.1223235	 0.1117793	 0.1063701
 30	 0.1192680	 0.1118573	 0.1014416	 0.0964281
 31	 0.1088069	 0.1029875	 0.0926383	 0.0877919
 32	 0.0996099	 0.0945504	 0.0847797	 0.0803099
 33	 0.0912720	 0.0867162	 0.0775960	 0.0733834
 34	 0.0841329	 0.0796861	 0.0711452	 0.0671543
 35	 0.0777017	 0.0731642	 0.0657837	 0.0617886
 36	 0.0723810	 0.0678307	 0.0610365	 0.0569833
 37	 0.0672169	 0.0626669	 0.0564720	 0.0526513
 38	 0.0627847	 0.0583915	 0.0525220	 0.0487534
 39	 0.0586285	 0.0544136	 0.0489962	 0.0454257
 40	 0.0551196	 0.0510433	 0.0459562	 0.0422831
 41	 0.0520651	 0.0479232	 0.0430647	 0.0394471
 42	 0.0490025	 0.0450634	 0.0403769	 0.0370038
 43	 0.0463261	 0.0422269	 0.0378724	 0.0346187
 44	 0.0438548	 0.0397966	 0.0357454	 0.0324451
