Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Beads_300nm
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	3.75060
443	2.94420
515	1.94771
658	0.97841
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	      Inf	      Inf	      Inf	1.1244915
  3.0	1.5786038	0.8804284	0.7938792	0.4706790
  4.5	0.9145672	0.6621415	0.5786242	0.4783203
  6.0	0.8532011	0.6675795	0.5585041	0.4630720
  7.5	0.8349675	0.6807176	0.5747551	0.4585285
  9.0	0.8110658	0.6815483	0.5571546	0.4633264
 10.5	0.7906689	0.6770926	0.5451132	0.4517554
 12.0	0.7674864	0.6672148	0.5372188	0.4328331
 13.5	0.7431021	0.6493051	0.5255002	0.4202909
 15.0	0.7157439	0.6304985	0.5114319	0.4079250
 16.5	0.6876914	0.6096647	0.4959455	0.3939623
 18.0	0.6580891	0.5877760	0.4788233	0.3812377
 19.5	0.6245804	0.5636765	0.4611884	0.4084188
 21.0	0.5961483	0.5400319	0.4398341	0.3940936
 22.5	0.5618575	0.5156168	0.4253333	0.4216636
 24.0	0.5321717	0.4910560	0.4046159	0.3730236
 25.5	0.4999500	0.4663762	0.3900783	0.3560442
 27.0	0.4680469	0.4410559	0.3694536	0.3014075
 28.5	0.4361697	0.4158727	0.3517703	0.2933563
 30.0	0.4047501	0.3906806	0.3343183	0.2808540
 31.5	0.3730842	0.3667596	0.3213800	0.2699365
 33.0	0.3476822	0.3433842	0.3056523	0.2592037
 34.5	0.3152298	0.3192163	0.2891987	0.2484555
 36.0	0.2932909	0.2977870	0.2751036	0.2391757
 37.5	0.2696463	0.2768611	0.2604960	0.2295098
 39.0	0.2494444	0.2565401	0.2464059	0.2202914
 40.5	0.2288560	0.2380084	0.2334799	0.2118584
 42.0	0.2090619	0.2199837	0.2202770	0.2033885
 43.5	0.1898479	0.2023583	0.2073819	0.1946892
 45.0	0.1720019	0.1850208	0.1951825	0.1860820
 46.5	0.1552265	0.1705323	0.1830237	0.1773893
 48.0	0.1394427	0.1546389	0.1712020	0.1689461
 49.5	0.1246291	0.1393206	0.1596853	0.1606644
 51.0	0.1108988	0.1261250	0.1485570	0.1524465
 52.5	0.0982254	0.1164546	0.1378775	0.1444448
 54.0	0.0866368	0.1049018	0.1276892	0.1366423
 55.5	0.0761148	0.0941919	0.1180050	0.1291280
 57.0	0.0665702	0.0842908	0.1088140	0.1219471
 58.5	0.0580819	0.0752225	0.1001080	0.1150950
 60.0	0.0504863	0.0669269	0.0919876	0.1085559
 61.5	0.0437503	0.0593392	0.0843404	0.1023232
 63.0	0.0378260	0.0524805	0.0771689	0.0963681
 64.5	0.0326535	0.0462848	0.0704761	0.0907083
 66.0	0.0281731	0.0407253	0.0642406	0.0853401
 67.5	0.0242945	0.0357397	0.0584189	0.0802555
 69.0	0.0209876	0.0312819	0.0530501	0.0754406
 70.5	0.0181652	0.0273520	0.0480789	0.0709254
 72.0	0.0158315	0.0238790	0.0434941	0.0666414
 73.5	0.0138456	0.0208242	0.0392431	0.0625760
 75.0	0.0122379	0.0181468	0.0353351	0.0587508
 76.5	0.0109269	0.0158203	0.0317783	0.0551350
 78.0	0.0098510	0.0138212	0.0285359	0.0517374
 79.5	0.0089924	0.0120851	0.0255604	0.0485772
 81.0	0.0083395	0.0106063	0.0228263	0.0455552
 82.5	0.0078468	0.0093523	0.0203778	0.0427482
