Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Beads_3µm
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	1.3782
443	1.7255
515	1.6641
658	1.2324
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1	       Inf	       Inf	        NA	11.5423759
  2	       Inf	       Inf	        NA	 2.6851186
  3	11.0883975	19.6363250	17.5210090	 2.7338152
  4	 3.8738948	10.0576751	 9.4939212	 2.4827001
  5	 1.3243941	 5.2416796	 6.3416125	 1.7535205
  6	 0.9299724	 2.3741226	 4.1119597	 0.9438593
  7	 1.7828528	 1.1316725	 2.4580437	 0.3665576
  8	 2.6931358	 1.0592126	 1.3068240	 0.1872688
  9	 2.8885421	 1.4211267	 0.6417916	 0.4152653
 10	 2.3269652	 1.6624927	 0.2843216	 0.8655953
 11	 1.4707197	 1.5657973	 0.1631526	 1.3480877
 12	 0.8211816	 1.2066731	 0.1683310	 1.6774504
 13	 0.6030376	 0.7730977	 0.2817941	 1.7573422
 14	 0.7261870	 0.4242816	 0.4472643	 1.5934679
 15	 0.8914146	 0.2354889	 0.5816741	 1.2708056
 16	 0.9089356	 0.2087692	 0.6637467	 0.9076735
 17	 0.7264803	 0.2849121	 0.6099543	 0.6143282
 18	 0.4634330	 0.3796745	 0.4625611	 0.4568105
 19	 0.2826801	 0.4202892	 0.3046833	 0.4416412
 20	 0.2330524	 0.3768301	 0.2136036	 0.5281150
 21	 0.2968494	 0.2753606	 0.2078151	 0.6478593
 22	 0.3733699	 0.1731173	 0.2761315	 0.7337334
 23	 0.3768481	 0.1375301	 0.3608978	 0.7441459
 24	 0.2952795	 0.1691924	 0.4019224	 0.6725091
 25	 0.1889829	 0.2167521	 0.3721394	 0.5430206
 26	 0.1325140	 0.2563032	 0.2883023	 0.3980205
 27	 0.1502587	 0.2369577	 0.1958663	 0.2724824
 28	 0.2012427	 0.1728259	 0.1387368	 0.2039263
 29	 0.2233945	 0.1215210	 0.1344309	 0.1962700
 30	 0.1895374	 0.1056353	 0.1674626	 0.2216177
 31	 0.1278916	 0.1233967	 0.2034864	 0.2579244
 32	 0.0880139	 0.1503276	 0.2122579	 0.2845515
 33	 0.0933378	 0.1563334	 0.1844895	 0.2846054
 34	 0.1230113	 0.1334894	 0.1350299	 0.2498224
 35	 0.1375604	 0.0982545	 0.0906391	 0.2003646
 36	 0.1179560	 0.0736610	 0.0713299	 0.1455616
 37	 0.0807646	 0.0709514	 0.0790692	 0.1036709
 38	 0.0575619	 0.0830381	 0.0997679	 0.0839068
 39	 0.0624769	 0.0931595	 0.1139682	 0.0860235
 40	 0.0812015	 0.0894931	 0.1094577	 0.1017880
 41	 0.0883815	 0.0728945	 0.0876465	 0.1192320
 42	 0.0740768	 0.0542546	 0.0608615	 0.1281418
 43	 0.0509395	 0.0444225	 0.0428575	 0.1231619
 44	 0.0383798	 0.0456474	 0.0403168	 0.1055046
 45	 0.0426351	 0.0520404	 0.0494471	 0.0813007
 46	 0.0528811	 0.0551712	 0.0598533	 0.0586494
 47	 0.0547568	 0.0507561	 0.0623148	 0.0439339
 48	 0.0449415	 0.0409406	 0.0542559	 0.0395744
 49	 0.0321496	 0.0315004	 0.0402621	 0.0439382
 50	 0.0264719	 0.0271567	 0.0281427	 0.0521751
