Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Chlorella
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	3.0077
443	3.0203
515	3.3594
658	2.9509
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	        NA	        NA	        NA	1.7490e+01
  3.0	3.1278e+01	3.0719e+01	2.1823e+01	1.3459e+01
  4.5	1.0128e+01	1.1663e+01	1.2243e+01	1.1650e+01
  6.0	6.1439e+00	6.2189e+00	6.7467e+00	7.9842e+00
  7.5	4.8802e+00	4.5381e+00	4.1799e+00	4.8900e+00
  9.0	3.6202e+00	3.5785e+00	3.0384e+00	2.8833e+00
 10.5	2.4369e+00	2.5309e+00	2.3271e+00	1.8593e+00
 12.0	1.6712e+00	1.6929e+00	1.6738e+00	1.3533e+00
 13.5	1.2050e+00	1.1905e+00	1.1419e+00	1.0366e+00
 15.0	8.6349e-01	8.6899e-01	7.8902e-01	7.8133e-01
 16.5	6.1087e-01	6.3015e-01	5.7616e-01	5.6252e-01
 18.0	4.4265e-01	4.5537e-01	4.2903e-01	3.9616e-01
 19.5	3.2514e-01	3.3405e-01	3.1041e-01	2.8564e-01
 21.0	2.5343e-01	2.5021e-01	2.2891e-01	2.1501e-01
 22.5	1.9426e-01	1.9093e-01	1.7766e-01	1.6353e-01
 24.0	1.5058e-01	1.4663e-01	1.3681e-01	1.2429e-01
 25.5	1.1850e-01	1.1046e-01	1.0719e-01	9.9817e-02
 27.0	9.4479e-02	9.1998e-02	8.5334e-02	7.8109e-02
 28.5	7.6174e-02	7.3975e-02	6.8406e-02	6.1946e-02
 30.0	6.2033e-02	5.9959e-02	5.5332e-02	5.0128e-02
 31.5	5.1311e-02	4.9254e-02	4.5434e-02	4.1240e-02
 33.0	4.2950e-02	4.0805e-02	3.7687e-02	3.4283e-02
 34.5	3.6215e-02	3.4098e-02	3.1538e-02	2.8848e-02
 36.0	3.0900e-02	2.8819e-02	2.6741e-02	2.4518e-02
 37.5	2.6610e-02	2.4582e-02	2.2777e-02	2.0851e-02
 39.0	2.3047e-02	2.1121e-02	1.9640e-02	1.7869e-02
 40.5	2.0171e-02	1.8328e-02	1.7094e-02	1.5539e-02
 42.0	1.7756e-02	1.6047e-02	1.4938e-02	1.3600e-02
 43.5	1.5656e-02	1.4090e-02	1.3126e-02	1.2009e-02
 45.0	1.3847e-02	1.2405e-02	1.1645e-02	1.0613e-02
 46.5	1.2330e-02	1.0955e-02	1.0338e-02	9.4203e-03
 48.0	1.0971e-02	9.7183e-03	9.2489e-03	8.3894e-03
 49.5	9.7531e-03	8.6161e-03	8.2536e-03	7.4622e-03
 51.0	8.7071e-03	7.6567e-03	7.4133e-03	6.7137e-03
 52.5	7.7833e-03	6.8311e-03	6.7024e-03	5.9912e-03
 54.0	6.9588e-03	6.0873e-03	6.0733e-03	5.3935e-03
 55.5	6.2248e-03	5.4325e-03	5.4966e-03	4.8810e-03
 57.0	5.6058e-03	4.8521e-03	4.9925e-03	4.4204e-03
 58.5	5.0574e-03	4.3520e-03	4.5553e-03	4.0208e-03
 60.0	4.5765e-03	3.9012e-03	4.1592e-03	3.6669e-03
 61.5	4.1631e-03	3.4966e-03	3.8244e-03	3.3543e-03
 63.0	3.8038e-03	3.1437e-03	3.5181e-03	3.0706e-03
 64.5	3.4850e-03	2.8446e-03	3.2340e-03	2.8268e-03
 66.0	3.2212e-03	2.5742e-03	2.9830e-03	2.6088e-03
 67.5	2.9846e-03	2.3387e-03	2.7560e-03	2.4284e-03
 69.0	2.7699e-03	2.1370e-03	2.5575e-03	2.2624e-03
 70.5	2.5939e-03	1.9600e-03	2.3780e-03	2.1036e-03
 72.0	2.4296e-03	1.7981e-03	2.2182e-03	1.9597e-03
 73.5	2.2821e-03	1.6655e-03	2.0752e-03	1.8382e-03
 75.0	2.1624e-03	1.5374e-03	1.9379e-03	1.7224e-03
 76.5	2.0487e-03	1.4354e-03	1.8286e-03	1.6252e-03
 78.0	1.9523e-03	1.3405e-03	1.7140e-03	1.5271e-03
 79.5	1.8568e-03	1.2626e-03	1.6213e-03	1.4494e-03
 81.0	1.7805e-03	1.1861e-03	1.5354e-03	1.3776e-03
 82.5	1.7095e-03	1.1207e-03	1.4594e-03	1.3033e-03
 84.0	1.6379e-03	1.0609e-03	1.3960e-03	1.2421e-03
 85.5	1.5822e-03	1.0098e-03	1.3339e-03	1.1796e-03
 87.0	1.5248e-03	9.6276e-04	1.2811e-03	1.1374e-03
 88.5	1.4660e-03	9.1968e-04	1.2272e-03	1.0864e-03
 90.0	1.4217e-03	8.7643e-04	1.1738e-03	1.0420e-03
 91.5	1.3707e-03	8.4029e-04	1.1350e-03	9.9544e-04
 93.0	1.3283e-03	8.0828e-04	1.0880e-03	9.6191e-04
