Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Cylindrotheca
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	3.2582
443	3.1834
515	3.3198
658	3.1228
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	        NA	        NA	        NA	1.8421e+01
  3.0	2.0964e+01	2.3156e+01	1.1059e+01	1.1743e+01
  4.5	7.5469e+00	8.6537e+00	4.8506e+00	7.4798e+00
  6.0	4.5033e+00	5.4285e+00	2.8032e+00	4.1184e+00
  7.5	2.8158e+00	3.4231e+00	1.8369e+00	2.5537e+00
  9.0	1.8264e+00	2.2046e+00	1.1849e+00	1.7414e+00
 10.5	1.2289e+00	1.4888e+00	7.9424e-01	1.2100e+00
 12.0	8.4954e-01	1.0309e+00	5.6021e-01	8.2275e-01
 13.5	6.0121e-01	7.3117e-01	4.0023e-01	5.7142e-01
 15.0	4.3717e-01	5.2551e-01	2.8900e-01	4.1227e-01
 16.5	3.1870e-01	3.8745e-01	2.1819e-01	3.0232e-01
 18.0	2.4364e-01	2.9151e-01	1.6996e-01	2.2482e-01
 19.5	1.8778e-01	2.2328e-01	1.3157e-01	1.6884e-01
 21.0	1.4693e-01	1.7270e-01	1.0351e-01	1.2860e-01
 22.5	1.1608e-01	1.3193e-01	8.3071e-02	1.0131e-01
 24.0	9.2243e-02	1.0839e-01	6.7429e-02	8.1890e-02
 25.5	7.3574e-02	8.6859e-02	5.5238e-02	6.5450e-02
 27.0	5.9813e-02	7.1230e-02	4.5480e-02	5.2810e-02
 28.5	4.8603e-02	5.9808e-02	3.7699e-02	4.3371e-02
 30.0	3.9803e-02	4.8898e-02	3.1684e-02	3.6037e-02
 31.5	3.2777e-02	3.9885e-02	2.6982e-02	3.0368e-02
 33.0	2.7568e-02	3.2963e-02	2.3017e-02	2.5691e-02
 34.5	2.3167e-02	2.7392e-02	1.9518e-02	2.1728e-02
 36.0	1.9724e-02	2.2991e-02	1.6863e-02	1.9163e-02
 37.5	1.6823e-02	1.9434e-02	1.4722e-02	1.5849e-02
 39.0	1.4516e-02	1.6633e-02	1.2901e-02	1.3696e-02
 40.5	1.2769e-02	1.4375e-02	1.1350e-02	1.1904e-02
 42.0	1.1183e-02	1.2720e-02	1.0002e-02	1.0392e-02
 43.5	9.7883e-03	1.0859e-02	8.9079e-03	9.0930e-03
 45.0	8.6931e-03	9.3721e-03	7.9239e-03	7.9735e-03
 46.5	7.8381e-03	8.1866e-03	7.1340e-03	6.9339e-03
 48.0	7.0728e-03	7.1649e-03	6.3948e-03	6.0763e-03
 49.5	6.3157e-03	6.3688e-03	5.6763e-03	5.3665e-03
 51.0	5.7131e-03	5.8553e-03	5.0937e-03	4.7689e-03
 52.5	5.2069e-03	5.0544e-03	4.5792e-03	4.2476e-03
 54.0	4.7539e-03	4.6108e-03	4.1081e-03	3.7635e-03
 55.5	4.3435e-03	3.9035e-03	3.6995e-03	3.3506e-03
