Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Dunaliella
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	0.45077
443	0.42055
515	0.48125
658	0.81610
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1	        NA	        NA	        NA	2.4512e+02
  2	        NA	        NA	67.5426939	1.6419e+01
  3	27.3439308	31.1098712	20.8600283	1.1478e+01
  4	10.7277591	11.5534325	10.2586403	1.2082e+01
  5	 5.7128060	 6.6534613	 5.9209577	7.1634e+00
  6	 3.6551989	 3.9088357	 3.7214593	3.7791e+00
  7	 2.5966772	 2.6522683	 2.4467282	2.8561e+00
  8	 1.9510803	 1.8796646	 1.8650890	2.1760e+00
  9	 1.5823646	 1.4494687	 1.3241887	1.6650e+00
 10	 1.3295312	 1.1633902	 1.0652080	1.3744e+00
 11	 1.1178680	 0.9691863	 0.8307830	1.1290e+00
 12	 1.0471834	 0.8230523	 0.7521766	9.3998e-01
 13	 0.9474465	 0.7064189	 0.6462905	8.3132e-01
 14	 0.8557523	 0.6004353	 0.5685251	7.3437e-01
 15	 0.7782823	 0.5379341	 0.5071188	6.5512e-01
 16	 0.7067374	 0.4821078	 0.4546528	5.9651e-01
 17	 0.6440267	 0.4254681	 0.4122571	5.3923e-01
 18	 0.5892216	 0.3880072	 0.3768940	4.8536e-01
 19	 0.5382430	 0.3603859	 0.3439487	4.3822e-01
 20	 0.4899958	 0.3280976	 0.3172689	3.8710e-01
 21	 0.4478027	 0.2970075	 0.2909290	3.4756e-01
 22	 0.4095991	 0.2718319	 0.2668174	3.2382e-01
 23	 0.3745451	 0.2483400	 0.2471354	2.9922e-01
 24	 0.3437906	 0.2274584	 0.2298321	2.7364e-01
 25	 0.3156148	 0.2089706	 0.2132759	2.5122e-01
 26	 0.2896049	 0.1916522	 0.1984262	2.3084e-01
 27	 0.2659311	 0.1761238	 0.1844363	2.1276e-01
 28	 0.2444441	 0.1621509	 0.1723795	1.9630e-01
 29	 0.2246248	 0.1496797	 0.1608352	1.8189e-01
 30	 0.2066414	 0.1371960	 0.1507273	1.6812e-01
 31	 0.1904734	 0.1266550	 0.1408313	1.5604e-01
 32	 0.1764276	 0.1175044	 0.1325436	1.4564e-01
 33	 0.1634339	 0.1083736	 0.1256989	1.3582e-01
 34	 0.1515335	 0.1006013	 0.1185333	1.2642e-01
 35	 0.1402765	 0.0918838	 0.1119644	1.1849e-01
 36	 0.1303907	 0.0853995	 0.1057246	1.1128e-01
 37	 0.1211916	 0.0793606	 0.0998783	1.0478e-01
 38	 0.1131935	 0.0737937	 0.0937343	9.8852e-02
 39	 0.1056873	 0.0688520	 0.0888861	9.3367e-02
 40	 0.0987421	 0.0639636	 0.0840856	8.8499e-02
 41	 0.0925286	 0.0598412	 0.0796503	8.3878e-02
 42	 0.0867267	 0.0555757	 0.0757387	7.9819e-02
 43	 0.0810753	 0.0518865	 0.0720464	7.5686e-02
 44	 0.0758946	 0.0483644	 0.0683544	7.2133e-02
 45	 0.0713415	 0.0451846	 0.0648518	6.8601e-02
 46	 0.0670728	 0.0424605	 0.0619075	6.5464e-02
 47	 0.0628544	 0.0398116	 0.0589328	6.2371e-02
 48	 0.0590686	 0.0370669	 0.0561385	5.9501e-02
 49	 0.0555471	 0.0350719	 0.0535226	5.6849e-02
 50	 0.0521137	 0.0330241	 0.0508688	5.4175e-02
 51	 0.0489579	 0.0309436	 0.0486412	5.1841e-02
 52	 0.0460776	 0.0292771	 0.0466408	4.9489e-02
 53	 0.0434689	 0.0274969	 0.0445921	4.7315e-02
 54	 0.0408646	 0.0260143	 0.0427481	4.5268e-02
 55	 0.0383928	 0.0246333	 0.0410803	4.3247e-02
 56	 0.0361560	 0.0231516	 0.0394979	4.1318e-02
 57	 0.0339830	 0.0218794	 0.0381767	3.9595e-02
 58	 0.0318461	 0.0207549	 0.0367746	3.7912e-02
 59	 0.0299920	 0.0196493	 0.0354778	3.6272e-02
 60	 0.0283617	 0.0185786	 0.0343591	3.4796e-02
 61	 0.0267757	 0.0175910	 0.0331889	3.3294e-02
 62	 0.0253898	 0.0166512	 0.0321206	3.2039e-02
 63	 0.0239980	 0.0157275	 0.0311124	3.0790e-02
 64	 0.0227764	 0.0149546	 0.0302372	2.9613e-02
 65	 0.0216384	 0.0141787	 0.0290518	2.8382e-02
 66	 0.0205318	 0.0135288	 0.0282124	2.7338e-02
 67	 0.0194761	 0.0128614	 0.0271148	2.6305e-02
 68	 0.0185663	 0.0122183	 0.0262789	2.5383e-02
 69	 0.0176871	 0.0117062	 0.0255333	2.4445e-02
 70	 0.0168082	 0.0111387	 0.0247218	2.3660e-02
 71	 0.0160736	 0.0105983	 0.0239898	2.2811e-02
 72	 0.0153467	 0.0102025	 0.0231851	2.1998e-02
