Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Formazin(4ntu)
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	5.9054
443	4.9238
515	3.6277
658	2.2689
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	       Inf	       Inf	      Inf	      Inf
  3.0	23.0354483	18.1870884	9.6270862	6.5447621
  4.5	 8.6161708	 7.7467744	5.6274375	4.7593865
  6.0	 4.9274226	 4.5575849	3.6060644	3.3222124
  7.5	 3.1844915	 2.9268050	2.4526948	2.3654248
  9.0	 2.1939732	 2.0235919	1.7222473	1.6863320
 10.5	 1.5943690	 1.4803189	1.2701137	1.2304182
 12.0	 1.2056925	 1.1331088	0.9695384	0.9269793
 13.5	 0.9423773	 0.8887210	0.7584792	0.7213400
 15.0	 0.7521760	 0.7105672	0.6097090	0.5756613
 16.5	 0.6119194	 0.5786484	0.4978725	0.4681462
 18.0	 0.5011308	 0.4784617	0.4123594	0.3867076
 19.5	 0.4235584	 0.4007150	0.3445461	0.3237002
 21.0	 0.3585435	 0.3396194	0.2923577	0.2738490
 22.5	 0.3041539	 0.2903148	0.2486066	0.2341185
 24.0	 0.2597765	 0.2500398	0.2146576	0.2005943
 25.5	 0.2267848	 0.2170907	0.1903781	0.1725656
 27.0	 0.1976913	 0.1895448	0.1668075	0.1507137
 28.5	 0.1749367	 0.1664629	0.1469360	0.1337730
 30.0	 0.1539055	 0.1467513	0.1300365	0.1193702
 31.5	 0.1365639	 0.1302418	0.1159249	0.1064682
 33.0	 0.1218603	 0.1154862	0.1038925	0.0953415
 34.5	 0.1089180	 0.1029871	0.0932085	0.0855734
 36.0	 0.0982819	 0.0920889	0.0844745	0.0776144
 37.5	 0.0890054	 0.0845663	0.0766503	0.0704575
 39.0	 0.0808343	 0.0750905	0.0697787	0.0641579
 40.5	 0.0739872	 0.0700326	0.0639434	0.0588516
 42.0	 0.0678915	 0.0639877	0.0586268	0.0540378
 43.5	 0.0623353	 0.0585793	0.0538657	0.0496849
 45.0	 0.0574714	 0.0538137	0.0496661	0.0458173
 46.5	 0.0530923	 0.0495221	0.0458229	0.0422803
 48.0	 0.0490562	 0.0456252	0.0423279	0.0390444
 49.5	 0.0453879	 0.0420951	0.0391574	0.0360996
 51.0	 0.0420606	 0.0388715	0.0362662	0.0334238
 52.5	 0.0389627	 0.0359605	0.0336200	0.0309568
 54.0	 0.0361534	 0.0333116	0.0312001	0.0287519
 55.5	 0.0335868	 0.0308857	0.0290267	0.0267161
 57.0	 0.0312337	 0.0286952	0.0270239	0.0248627
 58.5	 0.0290754	 0.0266964	0.0251898	0.0231835
 60.0	 0.0271020	 0.0248670	0.0235176	0.0216565
 61.5	 0.0253118	 0.0232072	0.0220236	0.0202632
 63.0	 0.0236813	 0.0216805	0.0206263	0.0189842
 64.5	 0.0221620	 0.0202889	0.0193579	0.0178346
 66.0	 0.0207838	 0.0190213	0.0182121	0.0167689
 67.5	 0.0195355	 0.0178568	0.0171445	0.0158063
 69.0	 0.0183782	 0.0167959	0.0161719	0.0149147
 70.5	 0.0173144	 0.0158302	0.0152956	0.0141153
 72.0	 0.0163187	 0.0149405	0.0144815	0.0133687
 73.5	 0.0154491	 0.0141226	0.0137571	0.0127005
 75.0	 0.0146283	 0.0133840	0.0130879	0.0120780
 76.5	 0.0138948	 0.0127027	0.0124548	0.0115165
 78.0	 0.0132163	 0.0120782	0.0118788	0.0109989
 79.5	 0.0125790	 0.0115016	0.0113628	0.0105264
 81.0	 0.0119986	 0.0109850	0.0108737	0.0100953
 82.5	 0.0114749	 0.0105022	0.0104488	0.0097034
 84.0	 0.0109945	 0.0100692	0.0100461	0.0093386
 85.5	 0.0105511	 0.0096692	0.0096777	0.0090074
 87.0	 0.0101480	 0.0093008	0.0093421	0.0087118
 88.5	 0.0097771	 0.0089691	0.0090357	0.0084441
 90.0	 0.0094457	 0.0086622	0.0087570	0.0081937
 91.5	 0.0091387	 0.0083844	0.0084942	0.0079634
 93.0	 0.0088511	 0.0081283	0.0082669	0.0077587
 94.5	 0.0085863	 0.0078956	0.0080468	0.0075741
 96.0	 0.0083516	 0.0076825	0.0078560	0.0074071
 97.5	 0.0081332	 0.0074927	0.0076718	0.0072552
 99.0	 0.0079333	 0.0073186	0.0075114	0.0071217
100.5	 0.0077520	 0.0071568	0.0073744	0.0070006
102.0	 0.0075817	 0.0070009	0.0072423	0.0068904
103.5	 0.0074281	 0.0068721	0.0071220	0.0067936
105.0	 0.0072840	 0.0067532	0.0070164	0.0067049
106.5	 0.0071617	 0.0066489	0.0069239	0.0066283
108.0	 0.0070453	 0.0065555	0.0068382	0.0065652
109.5	 0.0069384	 0.0064689	0.0067607	0.0065085
111.0	 0.0068446	 0.0063946	0.0066906	0.0064602
112.5	 0.0067562	 0.0063231	0.0066281	0.0064225
114.0	 0.0066821	 0.0062606	0.0065690	0.0063865
115.5	 0.0066121	 0.0062030	0.0065246	0.0063571
117.0	 0.0065485	 0.0061538	0.0064891	0.0063330
118.5	 0.0064879	 0.0061149	0.0064553	0.0063132
120.0	 0.0064331	 0.0060780	0.0064228	0.0063000
121.5	 0.0063819	 0.0060422	0.0063958	0.0062910
123.0	 0.0063291	 0.0060091	0.0063784	0.0062922
124.5	 0.0062825	 0.0059817	0.0063552	0.0062908
126.0	 0.0062372	 0.0059607	0.0063442	0.0062899
127.5	 0.0061948	 0.0059424	0.0063268	0.0062935
129.0	 0.0061532	 0.0059190	0.0063105	0.0062928
130.5	 0.0061098	 0.0058990	0.0062963	0.0062950
132.0	 0.0060645	 0.0058814	0.0062879	0.0062937
133.5	 0.0060153	 0.0058645	0.0062728	0.0062901
135.0	 0.0059659	 0.0058433	0.0062603	0.0062812
136.5	 0.0059120	 0.0058295	0.0062425	0.0062667
138.0	 0.0058522	 0.0058035	0.0062103	0.0062274
139.5	 0.0057916	 0.0057758	0.0061668	0.0061898
141.0	 0.0057351	 0.0057506	0.0061171	0.0061497
142.5	 0.0057198	 0.0057513	0.0061119	0.0061493
144.0	 0.0057006	 0.0057487	0.0060933	0.0061377
145.5	 0.0056905	 0.0057544	0.0060795	0.0061274
147.0	 0.0057089	 0.0057784	0.0060930	0.0061310
148.5	 0.0057260	 0.0057913	0.0060907	0.0061365
150.0	 0.0057756	 0.0058417	0.0061153	0.0061727
151.5	 0.0058367	 0.0059004	0.0061723	0.0062386
153.0	 0.0059013	 0.0059593	0.0062300	0.0063248
154.5	 0.0059686	 0.0060249	0.0063037	0.0064155
156.0	 0.0060512	 0.0061030	0.0063874	0.0065209
157.5	 0.0061414	 0.0062000	0.0064805	0.0066541
159.0	 0.0062319	 0.0063112	0.0065838	0.0067926
160.5	 0.0063356	 0.0064438	0.0067155	0.0069715
162.0	 0.0064859	 0.0065873	0.0068760	0.0071404
163.5	 0.0066425	 0.0067766	0.0070413	0.0073017
165.0	 0.0068456	 0.0069806	0.0072465	0.0075071
166.5	 0.0071242	 0.0072439	0.0074994	0.0077076
168.0	 0.0074453	 0.0075761	0.0078335	0.0079606
169.5	 0.0079154	 0.0081087	0.0083525	0.0083923
171.0	 0.0092101	 0.0092165	0.0095184	0.0094566
172.5	 0.0115999	 0.0113635	0.0119340	0.0119841
174.0	 0.0177204	 0.0165930	0.0179729	0.0180606
