Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Karenia
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	0.71431
443	0.64901
515	0.65312
658	0.61143
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	       Inf	      Inf	      Inf	4.9977878
  3.0	10.6231517	7.4869206	5.6717143	3.8656738
  4.5	 4.5119547	3.6161031	3.1505727	3.0452404
  6.0	 3.1351121	2.5831498	2.2092111	2.1339844
  7.5	 2.3463919	1.9657463	1.6932378	1.4690150
  9.0	 1.7674984	1.5170183	1.3113570	0.9813293
 10.5	 1.3531589	1.1753131	1.0087572	0.8650192
 12.0	 1.0124472	0.9201329	0.7785558	0.6688048
 13.5	 0.7846063	0.7124918	0.6492315	0.5167142
 15.0	 0.5965059	0.5488070	0.5236075	0.4079694
 16.5	 0.4410171	0.4179096	0.4149946	0.3349808
 18.0	 0.3257254	0.2996825	0.3304861	0.2737183
 19.5	 0.2400692	0.2368073	0.2631884	0.2233132
 21.0	 0.1791606	0.1817390	0.2087705	0.1827912
 22.5	 0.1361245	0.1376353	0.1634418	0.1496998
 24.0	 0.1069971	0.1053682	0.1280423	0.1230436
 25.5	 0.0865937	0.0826408	0.1011668	0.1014164
 27.0	 0.0723989	0.0662861	0.0810737	0.0842024
 28.5	 0.0621731	0.0549876	0.0647309	0.0700711
 30.0	 0.0541740	0.0469110	0.0529256	0.0582569
 31.5	 0.0480923	0.0409445	0.0441627	0.0486122
 33.0	 0.0425316	0.0367433	0.0379836	0.0407078
 34.5	 0.0376486	0.0327423	0.0327940	0.0344068
 36.0	 0.0330213	0.0298014	0.0290315	0.0292807
 37.5	 0.0288509	0.0268663	0.0260098	0.0250368
 39.0	 0.0251828	0.0240139	0.0233484	0.0217348
 40.5	 0.0220329	0.0213050	0.0214714	0.0190820
 42.0	 0.0194129	0.0187676	0.0196588	0.0168851
 43.5	 0.0172349	0.0164688	0.0177189	0.0150259
 45.0	 0.0154466	0.0145333	0.0163278	0.0137258
 46.5	 0.0141182	0.0128529	0.0148943	0.0125308
 48.0	 0.0130229	0.0114328	0.0133864	0.0114077
 49.5	 0.0120831	0.0101680	0.0119614	0.0105157
 51.0	 0.0113043	0.0092659	0.0107633	0.0096312
 52.5	 0.0105657	0.0084875	0.0096029	0.0089079
 54.0	 0.0099394	0.0078294	0.0086332	0.0082045
 55.5	 0.0092707	0.0072969	0.0077383	0.0075235
 57.0	 0.0086162	0.0068369	0.0069681	0.0069586
 58.5	 0.0079919	0.0063739	0.0063321	0.0064059
 60.0	 0.0073968	0.0060078	0.0058887	0.0059061
 61.5	 0.0068759	0.0056044	0.0054758	0.0054232
 63.0	 0.0063801	0.0052207	0.0051135	0.0050152
 64.5	 0.0059633	0.0048657	0.0047799	0.0046012
 66.0	 0.0055864	0.0045135	0.0045181	0.0042308
 67.5	 0.0052639	0.0041970	0.0043241	0.0038775
 69.0	 0.0049486	0.0039287	0.0040876	0.0035342
 70.5	 0.0047171	0.0036357	0.0038189	0.0032504
 72.0	 0.0045095	0.0034077	0.0036353	0.0029957
 73.5	 0.0043133	0.0032181	0.0034552	0.0027689
 75.0	 0.0041128	0.0030313	0.0032609	0.0025925
 76.5	 0.0039288	0.0028829	0.0030918	0.0024071
 78.0	 0.0037948	0.0027335	0.0029466	0.0022490
 79.5	 0.0036086	0.0026553	0.0027854	0.0021121
 81.0	 0.0034444	0.0025414	0.0026501	0.0019971
 82.5	 0.0033058	0.0024502	0.0025088	0.0018959
 84.0	 0.0031524	0.0023749	0.0023937	0.0018336
 85.5	 0.0030232	0.0022990	0.0022872	0.0017315
 87.0	 0.0028918	0.0022127	0.0022052	0.0016805
 88.5	 0.0027649	0.0021378	0.0021103	0.0016110
 90.0	 0.0026729	0.0020644	0.0020403	0.0015633
 91.5	 0.0026011	0.0019855	0.0019825	0.0015220
 93.0	 0.0025335	0.0019284	0.0019165	0.0014558
 94.5	 0.0024613	0.0018623	0.0018353	0.0014141
 96.0	 0.0023675	0.0018087	0.0018193	0.0013882
 97.5	 0.0023008	0.0017468	0.0017639	0.0013496
 99.0	 0.0022714	0.0017027	0.0017425	0.0013176
100.5	 0.0022197	0.0016516	0.0017169	0.0012887
