Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Skeletonema
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	1.7862
443	1.6134
515	1.8949
658	2.0530
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	        NA	        NA	        NA	1.4748e+01
  3.0	1.5361e+01	1.3630e+01	9.48200957	8.1931e+00
  4.5	5.3528e+00	4.7727e+00	3.92019871	4.6917e+00
  6.0	2.9743e+00	2.8971e+00	2.53142955	2.3012e+00
  7.5	1.7690e+00	1.7605e+00	1.68836722	1.5426e+00
  9.0	1.1511e+00	1.1734e+00	1.09685053	1.0506e+00
 10.5	7.9224e-01	8.4584e-01	0.78767771	6.9767e-01
 12.0	5.7036e-01	6.3208e-01	0.58548049	4.8136e-01
 13.5	4.2655e-01	4.7799e-01	0.44270652	3.5052e-01
 15.0	3.3257e-01	3.6757e-01	0.34159295	2.6293e-01
 16.5	2.5889e-01	2.9073e-01	0.27775494	1.9678e-01
 18.0	2.0346e-01	2.3257e-01	0.22260713	1.5349e-01
 19.5	1.6294e-01	1.8111e-01	0.17930246	1.2575e-01
 21.0	1.3136e-01	1.4939e-01	0.14568856	1.0103e-01
 22.5	1.0718e-01	1.2529e-01	0.11978671	8.2264e-02
 24.0	8.7721e-02	1.0381e-01	0.09885210	6.7966e-02
 25.5	7.2098e-02	8.6063e-02	0.08217709	5.6387e-02
 27.0	5.9529e-02	7.1922e-02	0.06871154	4.6853e-02
 28.5	4.9304e-02	6.0159e-02	0.05765515	3.9432e-02
 30.0	4.1118e-02	5.0439e-02	0.04865190	3.3372e-02
 31.5	3.4425e-02	4.2441e-02	0.04144989	2.8557e-02
 33.0	2.8952e-02	3.5915e-02	0.03531196	2.4588e-02
 34.5	2.4602e-02	3.0290e-02	0.02985745	2.1307e-02
 36.0	2.1047e-02	2.5842e-02	0.02583099	1.8587e-02
 37.5	1.8293e-02	2.2163e-02	0.02243466	1.6247e-02
 39.0	1.5868e-02	1.9060e-02	0.01950381	1.4210e-02
 40.5	1.4024e-02	1.6450e-02	0.01705438	1.2566e-02
 42.0	1.2510e-02	1.4285e-02	0.01495109	1.1099e-02
 43.5	1.1235e-02	1.2486e-02	0.01312952	9.7973e-03
 45.0	1.0122e-02	1.1048e-02	0.01156464	8.7643e-03
 46.5	9.1154e-03	9.9545e-03	0.01019999	7.7852e-03
 48.0	8.3055e-03	8.8810e-03	0.00909829	6.9657e-03
 49.5	7.6036e-03	7.9857e-03	0.00825407	6.2136e-03
 51.0	6.9744e-03	7.1937e-03	0.00737935	5.5609e-03
 52.5	6.4155e-03	6.4873e-03	0.00662978	4.9828e-03
 54.0	5.9601e-03	5.9058e-03	0.00598191	4.5067e-03
 55.5	5.5178e-03	5.4776e-03	0.00546706	4.0783e-03
 57.0	5.1340e-03	4.9875e-03	0.00501975	3.6930e-03
 58.5	4.7528e-03	4.6246e-03	0.00461228	3.3268e-03
 60.0	4.4324e-03	4.2381e-03	0.00426594	3.0573e-03
 61.5	4.1502e-03	3.9101e-03	0.00394165	2.7845e-03
 63.0	3.9036e-03	3.6168e-03	0.00366231	2.5474e-03
 64.5	3.6623e-03	3.3495e-03	0.00342067	2.3414e-03
 66.0	3.4646e-03	3.1164e-03	0.00320483	2.1722e-03
 67.5	3.2622e-03	2.9095e-03	0.00300311	2.0078e-03
 69.0	3.0864e-03	2.7298e-03	0.00282659	1.8503e-03
 70.5	2.9217e-03	2.5605e-03	0.00266904	1.7275e-03
 72.0	2.7677e-03	2.4008e-03	0.00252898	1.6121e-03
 73.5	2.6167e-03	2.2432e-03	0.00240079	1.5069e-03
 75.0	2.5003e-03	2.1064e-03	0.00226842	1.4144e-03
 76.5	2.3815e-03	1.9891e-03	0.00215830	1.3369e-03
 78.0	2.2708e-03	1.8664e-03	0.00206369	1.2597e-03
 79.5	2.1724e-03	1.7602e-03	0.00196866	1.1937e-03
 81.0	2.0826e-03	1.6641e-03	0.00187604	1.1375e-03
 82.5	1.9873e-03	1.5890e-03	0.00180229	1.0947e-03
 84.0	1.9128e-03	1.5008e-03	0.00172778	1.0469e-03
 85.5	1.8409e-03	1.4185e-03	0.00165520	1.0031e-03
 87.0	1.7697e-03	1.3580e-03	0.00159601	9.6428e-04
 88.5	1.7238e-03	1.3009e-03	0.00153791	9.2500e-04
 90.0	1.6606e-03	1.2330e-03	0.00147730	8.9485e-04
 91.5	1.6145e-03	1.1768e-03	0.00143359	8.6215e-04
 93.0	1.5719e-03	1.1349e-03	0.00138305	8.3701e-04
 94.5	1.5282e-03	1.1021e-03	0.00133816	8.1230e-04
 96.0	1.4870e-03	1.0624e-03	0.00129607	7.8729e-04
 97.5	1.4532e-03	1.0373e-03	0.00125292	7.6714e-04
 99.0	1.4290e-03	9.9667e-04	0.00121759	7.4676e-04
100.5	1.3844e-03	9.6781e-04	0.00118546	7.3016e-04
102.0	1.3648e-03	9.4588e-04	0.00116102	7.1531e-04
103.5	1.3341e-03	9.2075e-04	0.00113107	7.0261e-04
105.0	1.3005e-03	9.0098e-04	0.00110621	6.8488e-04
106.5	1.2763e-03	8.8324e-04	0.00108498	6.7150e-04
108.0	1.2538e-03	8.7048e-04	0.00105512	6.5972e-04
109.5	1.2247e-03	8.4515e-04	0.00103191	6.4725e-04
111.0	1.2032e-03	8.3350e-04	0.00101763	6.3982e-04
112.5	1.1856e-03	8.2545e-04	0.00100086	6.2980e-04
114.0	1.1735e-03	8.1211e-04	0.00098538	6.2696e-04
115.5	1.1554e-03	7.9829e-04	0.00096818	6.1959e-04
117.0	1.1375e-03	8.0027e-04	0.00096062	6.1576e-04
118.5	1.1273e-03	8.0260e-04	0.00095253	6.0762e-04
120.0	1.1108e-03	7.7796e-04	0.00094967	6.0414e-04
121.5	1.1045e-03	7.7708e-04	0.00094001	6.0391e-04
123.0	1.0929e-03	7.7101e-04	0.00092980	5.9607e-04
124.5	1.0789e-03	7.6222e-04	0.00092506	5.9539e-04
126.0	1.0725e-03	7.7539e-04	0.00091953	5.9335e-04
127.5	1.0668e-03	7.7594e-04	0.00091946	5.9248e-04
129.0	1.0650e-03	7.8257e-04	0.00091914	5.9147e-04
130.5	1.0468e-03	7.8978e-04	0.00090913	5.9209e-04
132.0	1.0320e-03	7.9625e-04	0.00091354	5.9148e-04
133.5	1.0300e-03	8.0219e-04	0.00091370	5.9511e-04
135.0	1.0066e-03	8.0295e-04	0.00091521	5.9979e-04
136.5	9.9329e-04	8.0335e-04	0.00091361	5.9872e-04
138.0	9.9042e-04	8.0347e-04	0.00091748	6.0286e-04
139.5	9.7607e-04	8.0306e-04	0.00090775	6.0650e-04
141.0	9.7175e-04	8.1368e-04	0.00090015	6.0927e-04
142.5	9.6882e-04	8.2451e-04	0.00091169	6.1476e-04
144.0	9.7116e-04	8.3428e-04	0.00091906	6.2717e-04
145.5	9.7398e-04	8.4486e-04	0.00092947	6.3953e-04
147.0	9.9045e-04	8.6375e-04	0.00094115	6.4929e-04
148.5	1.0120e-03	8.8731e-04	0.00095310	6.6030e-04
150.0	1.0362e-03	9.0691e-04	0.00098394	6.7642e-04
151.5	1.0610e-03	9.3325e-04	0.00101497	6.9338e-04
153.0	1.0843e-03	9.4058e-04	0.00104405	7.0150e-04
154.5	1.1066e-03	9.4396e-04	0.00107294	6.9289e-04
156.0	1.1243e-03	9.4186e-04	0.00111039	6.8802e-04
157.5	1.1430e-03	9.0097e-04	0.00115079	6.8256e-04
159.0	1.1737e-03	8.6251e-04	0.00121024	6.5903e-04
160.5	1.2309e-03	8.5482e-04	0.00130604	6.3499e-04
162.0	1.2997e-03	8.9963e-04	0.00144213	6.5411e-04
163.5	1.4375e-03	9.5349e-04	0.00163965	7.5674e-04
165.0	1.6619e-03	1.0871e-03	0.00186184	1.0029e-03
166.5	2.1476e-03	1.5549e-03	0.00227128	1.4695e-03
168.0	2.8374e-03	2.2428e-03	0.00287870	2.1787e-03
169.5	3.6411e-03	3.1563e-03	0.00381304	3.1507e-03
171.0	5.6477e-03	5.0876e-03	0.00559952	4.9061e-03
172.5	9.5403e-03	8.4501e-03	0.00906274	7.6382e-03
174.0	1.9862e-02	1.5878e-02	0.01567798	1.7265e-02
