Petzold VSF and phase function data as plotted on the "Scattering/Petzold's measurements" web page
Data taken from Petzold (1972) and Light and Water, Table 3.10
    deg    1/(m sr)    1/(m sr)    1/(m sr)    1/sr        1/sr        1/sr        1/sr
scat_ang  VSF_clear   VSF_coast   VSF_turbid  PF_clear    PF_coast    PF_turbid   PF_avg-part
   0.100  5.318e+001  6.533e+002  3.262e+003  1.437e+003  2.983e+003  1.788e+003  1.772e+003
   0.126  4.042e+001  4.577e+002  2.397e+003  1.092e+003  2.090e+003  1.314e+003  1.299e+003
   0.158  3.073e+001  3.206e+002  1.757e+003  8.305e+002  1.464e+003  9.633e+002  9.529e+002
   0.200  2.374e+001  2.252e+002  1.275e+003  6.416e+002  1.028e+003  6.990e+002  7.011e+002
   0.251  1.814e+001  1.579e+002  9.260e+002  4.903e+002  7.210e+002  5.077e+002  5.151e+002
   0.316  1.360e+001  1.104e+002  6.764e+002  3.676e+002  5.041e+002  3.708e+002  3.774e+002
   0.398  9.954e+000  7.731e+001  5.027e+002  2.690e+002  3.530e+002  2.756e+002  2.771e+002
   0.501  7.179e+000  5.371e+001  3.705e+002  1.940e+002  2.453e+002  2.031e+002  2.018e+002
   0.631  5.110e+000  3.675e+001  2.676e+002  1.381e+002  1.678e+002  1.467e+002  1.448e+002
   0.794  3.591e+000  2.481e+001  1.897e+002  9.705e+001  1.133e+002  1.040e+002  1.025e+002
   1.000  2.498e+000  1.662e+001  1.329e+002  6.751e+001  7.589e+001  7.286e+001  7.181e+001
   1.259  1.719e+000  1.106e+001  9.191e+001  4.646e+001  5.050e+001  5.039e+001  4.972e+001
   1.585  1.171e+000  7.306e+000  6.280e+001  3.165e+001  3.336e+001  3.443e+001  3.405e+001
   1.995  7.758e-001  4.751e+000  4.171e+001  2.097e+001  2.169e+001  2.287e+001  2.288e+001
   2.512  5.087e-001  3.067e+000  2.737e+001  1.375e+001  1.400e+001  1.501e+001  1.521e+001
   3.162  3.340e-001  1.977e+000  1.793e+001  9.027e+000  9.027e+000  9.830e+000  1.004e+001
   3.981  2.196e-001  1.273e+000  1.172e+001  5.935e+000  5.813e+000  6.425e+000  6.598e+000
   5.012  1.446e-001  8.183e-001  7.655e+000  3.908e+000  3.737e+000  4.197e+000  4.307e+000
   6.310  9.522e-002  5.285e-001  5.039e+000  2.574e+000  2.413e+000  2.763e+000  2.815e+000
   7.943  6.282e-002  3.402e-001  3.302e+000  1.698e+000  1.553e+000  1.810e+000  1.824e+000
  10.000  4.162e-002  2.155e-001  2.111e+000  1.125e+000  9.840e-001  1.157e+000  1.156e+000
  15.000  2.038e-002  9.283e-002  9.041e-001  5.508e-001  4.239e-001  4.957e-001  4.907e-001
  20.000  1.099e-002  4.427e-002  4.452e-001  2.970e-001  2.021e-001  2.441e-001  2.451e-001
  25.000  6.166e-003  2.390e-002  2.734e-001  1.666e-001  1.091e-001  1.499e-001  1.476e-001
  30.000  3.888e-003  1.445e-002  1.613e-001  1.051e-001  6.598e-002  8.843e-002  8.633e-002
  35.000  2.680e-003  9.063e-003  1.109e-001  7.243e-002  4.138e-002  6.080e-002  5.948e-002
  40.000  1.899e-003  6.014e-003  7.913e-002  5.132e-002  2.746e-002  4.338e-002  4.222e-002
  45.000  1.372e-003  4.144e-003  5.858e-002  3.708e-002  1.892e-002  3.212e-002  3.076e-002
  50.000  1.020e-003  2.993e-003  4.388e-002  2.757e-002  1.367e-002  2.406e-002  2.282e-002
  55.000  7.683e-004  2.253e-003  3.288e-002  2.076e-002  1.029e-002  1.803e-002  1.704e-002
  60.000  6.028e-004  1.737e-003  2.548e-002  1.629e-002  7.932e-003  1.397e-002  1.316e-002
  65.000  4.883e-004  1.369e-003  2.041e-002  1.320e-002  6.251e-003  1.119e-002  1.049e-002
  70.000  4.069e-004  1.094e-003  1.655e-002  1.100e-002  4.995e-003  9.073e-003  8.512e-003
  75.000  3.457e-004  8.782e-004  1.345e-002  9.343e-003  4.010e-003  7.374e-003  6.996e-003
  80.000  3.019e-004  7.238e-004  1.124e-002  8.159e-003  3.305e-003  6.162e-003  5.859e-003
  85.000  2.681e-004  6.036e-004  9.637e-003  7.246e-003  2.756e-003  5.283e-003  4.967e-003
  90.000  2.459e-004  5.241e-004  8.411e-003  6.646e-003  2.393e-003  4.611e-003  4.305e-003
  95.000  2.315e-004  4.703e-004  7.396e-003  6.257e-003  2.147e-003  4.055e-003  3.792e-003
 100.000  2.239e-004  4.363e-004  6.694e-003  6.051e-003  1.992e-003  3.670e-003  3.414e-003
 105.000  2.225e-004  4.189e-004  6.220e-003  6.014e-003  1.913e-003  3.410e-003  3.125e-003
 110.000  2.239e-004  4.073e-004  5.891e-003  6.051e-003  1.860e-003  3.230e-003  2.920e-003
 115.000  2.265e-004  3.994e-004  5.729e-003  6.122e-003  1.824e-003  3.141e-003  2.805e-003
 120.000  2.339e-004  3.972e-004  5.549e-003  6.322e-003  1.814e-003  3.042e-003  2.693e-003
